file,width,height,orientation,path
Ferry.jpg,3675,2598,landscape,landscape/Ferry.jpg
IMG_0676.heic,3675,2598,landscape,landscape/IMG_0676.heic
IMG_20190815_145907.jpg,2634,1840,landscape,landscape/IMG_20190815_145907.jpg
IMG_20190903_103725.jpg,2489,1840,landscape,landscape/IMG_20190903_103725.jpg
IMG_20190903_103743.jpg,2691,1840,landscape,landscape/IMG_20190903_103743.jpg
IMG_20190903_103808.jpg,2739,1840,landscape,landscape/IMG_20190903_103808.jpg
IMG_20190903_103858.jpg,2186,1576,landscape,landscape/IMG_20190903_103858.jpg
IMG_20190903_103918.jpg,2265,1746,landscape,landscape/IMG_20190903_103918.jpg
IMG_20190903_103950.jpg,2497,1840,landscape,landscape/IMG_20190903_103950.jpg
IMG_20190903_104029.jpg,2489,1840,landscape,landscape/IMG_20190903_104029.jpg
IMG_20190903_104054.jpg,2323,1710,landscape,landscape/IMG_20190903_104054.jpg
IMG_20190903_192245.jpg,2844,1840,landscape,landscape/IMG_20190903_192245.jpg
IMG_20190904_183732.jpg,2360,1622,landscape,landscape/IMG_20190904_183732.jpg
IMG_20201203_143818.jpg,1629,2355,portrait,portrait/IMG_20201203_143818.jpg
IMG_20210107_202913.jpg,2666,1840,landscape,landscape/IMG_20210107_202913.jpg
IMG_20210225_200941.jpg,2550,1840,landscape,landscape/IMG_20210225_200941.jpg
IMG_20210313_121418.jpg,2403,1714,landscape,landscape/IMG_20210313_121418.jpg
IMG_20220626_122116.jpg,2402,1700,landscape,landscape/IMG_20220626_122116.jpg
IMG_20220718_200538.jpg,2366,1785,landscape,landscape/IMG_20220718_200538.jpg
IMG_20220731_094359.jpg,2574,1845,landscape,landscape/IMG_20220731_094359.jpg
IMG_20220731_094930.jpg,2389,1772,landscape,landscape/IMG_20220731_094930.jpg
IMG_20220822_221537.jpg,1844,2720,portrait,portrait/IMG_20220822_221537.jpg
IMG_20221108_191544.jpg,2500,1844,landscape,landscape/IMG_20221108_191544.jpg
IMG_20221124_152837.jpg,2585,1816,landscape,landscape/IMG_20221124_152837.jpg
IMG_20221211_172715.jpg,1647,2384,portrait,portrait/IMG_20221211_172715.jpg
IMG_20221218_182808.jpg,1634,2273,portrait,portrait/IMG_20221218_182808.jpg
IMG_20221219_210044.jpg,2391,1725,landscape,landscape/IMG_20221219_210044.jpg
IMG_20221221_185837.jpg,2306,1683,landscape,landscape/IMG_20221221_185837.jpg
IMG_20230508_200943.jpg,1742,2349,portrait,portrait/IMG_20230508_200943.jpg
IMG_20230515_191338.jpg,1760,2359,portrait,portrait/IMG_20230515_191338.jpg
IMG_20230521_173842.jpg,2391,1718,landscape,landscape/IMG_20230521_173842.jpg
IMG_20230524_201017.jpg,1571,2303,portrait,portrait/IMG_20230524_201017.jpg
IMG_20230524_201048.jpg,1570,2240,portrait,portrait/IMG_20230524_201048.jpg
IMG_20230524_201123.jpg,1647,2337,portrait,portrait/IMG_20230524_201123.jpg
IMG_20230524_201152.jpg,1590,2263,portrait,portrait/IMG_20230524_201152.jpg
IMG_20230524_201220.jpg,1551,2255,portrait,portrait/IMG_20230524_201220.jpg
IMG_20230524_201246.jpg,2295,1588,landscape,landscape/IMG_20230524_201246.jpg
IMG_20230530_092717.jpg,1783,2503,portrait,portrait/IMG_20230530_092717.jpg
IMG_20230531_190558.jpg,2460,1810,landscape,landscape/IMG_20230531_190558.jpg
IMG_20230603_124149.jpg,1760,2526,portrait,portrait/IMG_20230603_124149.jpg
IMG_20230603_210605.jpg,2514,1769,landscape,landscape/IMG_20230603_210605.jpg
IMG_20230604_100111.jpg,1806,2260,portrait,portrait/IMG_20230604_100111.jpg
IMG_20230604_100204.jpg,1698,2119,portrait,portrait/IMG_20230604_100204.jpg
IMG_20230606_230510.jpg,2401,1719,landscape,landscape/IMG_20230606_230510.jpg
IMG_20230607_192237.jpg,2373,1735,landscape,landscape/IMG_20230607_192237.jpg
IMG_20230613_195832.jpg,1598,2246,portrait,portrait/IMG_20230613_195832.jpg
IMG_20230615_123855.jpg,2468,1831,landscape,landscape/IMG_20230615_123855.jpg
IMG_20230615_183336.jpg,1668,2425,portrait,portrait/IMG_20230615_183336.jpg
IMG_20230617_185101.jpg,1811,2586,portrait,portrait/IMG_20230617_185101.jpg
IMG_20230619_203103.jpg,1713,2438,portrait,portrait/IMG_20230619_203103.jpg
IMG_20230620_184018.jpg,2333,1728,landscape,landscape/IMG_20230620_184018.jpg
IMG_20230627_182737.jpg,2395,1754,landscape,landscape/IMG_20230627_182737.jpg
IMG_20230705_085901.jpg,1089,1571,portrait,portrait/IMG_20230705_085901.jpg
IMG_20230705_090755.jpg,1498,1987,portrait,portrait/IMG_20230705_090755.jpg
IMG_20230705_101855.jpg,1774,1775,portrait,portrait/IMG_20230705_101855.jpg
IMG_20230706_185432.jpg,1783,2708,portrait,portrait/IMG_20230706_185432.jpg
IMG_20230707_215350.jpg,1687,2597,portrait,portrait/IMG_20230707_215350.jpg
IMG_20230709_225249.jpg,1817,2774,portrait,portrait/IMG_20230709_225249.jpg
IMG_20230710_190440.jpg,1807,2288,portrait,portrait/IMG_20230710_190440.jpg
IMG_20230711_222238.jpg,1520,2285,portrait,portrait/IMG_20230711_222238.jpg
IMG_20230713_184128.jpg,1615,2220,portrait,portrait/IMG_20230713_184128.jpg
IMG_20230720_100013.jpg,2733,1844,landscape,landscape/IMG_20230720_100013.jpg
IMG_20230726_132056.jpg,1485,2033,portrait,portrait/IMG_20230726_132056.jpg
IMG_20230804_181035.jpg,2710,1816,landscape,landscape/IMG_20230804_181035.jpg
IMG_20230807_213042.jpg,1653,2540,portrait,portrait/IMG_20230807_213042.jpg
IMG_20230811_151716.jpg,1844,2803,portrait,portrait/IMG_20230811_151716.jpg
IMG_20230814_211435.jpg,1797,2656,portrait,portrait/IMG_20230814_211435.jpg
IMG_20230817_182456.jpg,1835,2821,portrait,portrait/IMG_20230817_182456.jpg
IMG_20230901_121239.jpg,1684,2560,portrait,portrait/IMG_20230901_121239.jpg
IMG_20230904_212629.jpg,1576,2369,portrait,portrait/IMG_20230904_212629.jpg
IMG_20230907_181657.jpg,1503,2212,portrait,portrait/IMG_20230907_181657.jpg
IMG_20230911_130143.jpg,1651,2379,portrait,portrait/IMG_20230911_130143.jpg
IMG_20230914_110543.jpg,3436,1675,landscape,landscape/IMG_20230914_110543.jpg
IMG_20230914_111716.jpg,3988,1175,landscape,landscape/IMG_20230914_111716.jpg
IMG_20230915_121056.jpg,4027,1039,landscape,landscape/IMG_20230915_121056.jpg
IMG_20230917_201538.jpg,4025,1029,landscape,landscape/IMG_20230917_201538.jpg
IMG_20230920_092849.jpg,4096,1844,landscape,landscape/IMG_20230920_092849.jpg
IMG_20230920_093042.jpg,1787,2756,portrait,portrait/IMG_20230920_093042.jpg
IMG_20230926_200043.jpg,1717,2518,portrait,portrait/IMG_20230926_200043.jpg
IMG_20230926_205222.jpg,4096,1844,landscape,landscape/IMG_20230926_205222.jpg
IMG_20230928_175214.jpg,1801,2606,portrait,portrait/IMG_20230928_175214.jpg
IMG_20230928_185303.jpg,4096,1844,landscape,landscape/IMG_20230928_185303.jpg
IMG_20231027_093429.jpg,1844,2749,portrait,portrait/IMG_20231027_093429.jpg
IMG_20231129_111037.jpg,1724,2327,portrait,portrait/IMG_20231129_111037.jpg
IMG_20231216_091050.jpg,1844,2516,portrait,portrait/IMG_20231216_091050.jpg
IMG_20231220_093638.jpg,4096,1844,landscape,landscape/IMG_20231220_093638.jpg
IMG_20231220_094158.jpg,4096,1844,landscape,landscape/IMG_20231220_094158.jpg
IMG_20231220_200012.jpg,2603,1604,landscape,landscape/IMG_20231220_200012.jpg
IMG_20231223_094516.jpg,2530,1845,landscape,landscape/IMG_20231223_094516.jpg
IMG_20231223_094544.jpg,1607,2262,portrait,portrait/IMG_20231223_094544.jpg
IMG_20231225_185143.jpg,2407,1716,landscape,landscape/IMG_20231225_185143.jpg
IMG_20231227_101533.jpg,2520,1845,landscape,landscape/IMG_20231227_101533.jpg
IMG_20231228_173956.jpg,1785,2500,portrait,portrait/IMG_20231228_173956.jpg
IMG_20231230_093635.jpg,2152,1563,landscape,landscape/IMG_20231230_093635.jpg
IMG_20240108_191055.jpg,1844,2746,portrait,portrait/IMG_20240108_191055.jpg
IMG_20240113_205833.jpg,1844,2549,portrait,portrait/IMG_20240113_205833.jpg
IMG_20240118_205632.jpg,2434,1735,landscape,landscape/IMG_20240118_205632.jpg
IMG_20240119_191217.jpg,2568,1842,landscape,landscape/IMG_20240119_191217.jpg
IMG_20240123_183306.jpg,2520,1752,landscape,landscape/IMG_20240123_183306.jpg
IMG_20240125_205601.jpg,2573,1844,landscape,landscape/IMG_20240125_205601.jpg
IMG_20240126_092952.jpg,2525,1698,landscape,landscape/IMG_20240126_092952.jpg
IMG_20240126_093209.jpg,1756,2561,portrait,portrait/IMG_20240126_093209.jpg
IMG_20240126_093235.jpg,1730,2551,portrait,portrait/IMG_20240126_093235.jpg
IMG_20240126_100125.jpg,2442,1672,landscape,landscape/IMG_20240126_100125.jpg
IMG_20240131_175405.jpg,2550,1724,landscape,landscape/IMG_20240131_175405.jpg
IMG_20240204_164214.jpg,2403,1686,landscape,landscape/IMG_20240204_164214.jpg
IMG_20240204_203935.jpg,2521,1682,landscape,landscape/IMG_20240204_203935.jpg
IMG_20240204_204002.jpg,2449,1706,landscape,landscape/IMG_20240204_204002.jpg
IMG_20240205_190638.jpg,2483,1726,landscape,landscape/IMG_20240205_190638.jpg
IMG_20240207_200946.jpg,1562,2317,portrait,portrait/IMG_20240207_200946.jpg
IMG_20240209_093406.jpg,2658,1789,landscape,landscape/IMG_20240209_093406.jpg
IMG_20240209_093700.jpg,2549,1844,landscape,landscape/IMG_20240209_093700.jpg
IMG_20240209_095439.jpg,2442,1724,landscape,landscape/IMG_20240209_095439.jpg
IMG_20240209_095604.jpg,2123,1569,landscape,landscape/IMG_20240209_095604.jpg
IMG_20240209_100208.jpg,2425,1732,landscape,landscape/IMG_20240209_100208.jpg
IMG_20240209_101202.jpg,2658,1753,landscape,landscape/IMG_20240209_101202.jpg
IMG_20240209_101954.jpg,2385,1628,landscape,landscape/IMG_20240209_101954.jpg
IMG_20240209_103044.jpg,2385,1628,landscape,landscape/IMG_20240209_103044.jpg
IMG_20240209_104157.jpg,1492,2200,portrait,portrait/IMG_20240209_104157.jpg
IMG_20240209_104943.jpg,1591,1108,landscape,landscape/IMG_20240209_104943.jpg
IMG_20240209_110409.jpg,1474,1015,landscape,landscape/IMG_20240209_110409.jpg
IMG_20240209_111225.jpg,1716,2364,portrait,portrait/IMG_20240209_111225.jpg
IMG_20240209_222207.jpg,2442,1724,landscape,landscape/IMG_20240209_222207.jpg
